,Listed Count,Location,Name,Retweet at,Time,Time Zone,Tweet
0,65,"""New York State, USA","""Fan4me""",null,00:41:19,"""Eastern Time (US & Canada)""","['Sooooo', 'excited', 'for', 'Season', '2', 'of', 'TheLeftovers', 'after', 'OnceUponATime', 'and', 'then', 'the', 'Season', '2', 'finale', 'of', 'TheStrain', 'after', 'that', 'Great', 'TV', 'night']"
1,2,"""Tallahassee, Florida","""howie1027""",null,00:41:19,"""Eastern Time (US & Canada)""",['TheLeftovers']
2,155,"""Los Angeles","""WriterLe""",null,00:41:33,"""Pacific Time (US & Canada)""","['I', 'could', 'not', 'be', 'more', 'excited', 'for', 'TheLeftovers', 'season', '2', 'tonight']"
3,130,"""Baltimore, MD","""BrandonAmbro""",null,00:41:36,"""Eastern Time (US & Canada)""","['1', 'Advice', 'for', 'those', 'tuning', 'in', 'to', 'the', 'season', '2', 'premier', 'of', 'TheLeftovers', 'you', 'will', 'be', 'confused', 'for', 'the', 'first', 'ten', 'minutes', 'TheLeftoversHBO']"
4,6,"""UK","""RyanLang999""",null,00:42:13,"""London""","['20', 'mins', 'TheLeftovers']"
5,3,"""989 / 269 / 734 ","""kristie_leroy""",null,00:42:21,"""Quito""","['TheLeftovers', 'Season', '2', 'premiere', 'in', 'twenty', 'mins', 'HBO']"
6,13,"""San Antonio, TX","""WanderLynsey""",null,00:42:22,null,"['Super', 'excited', 'for', 'the', 'premiere', 'of', 'TheLeftovers', 'tonight', 'I', 'had', 'an', 'awesome', 'chance', 'to', 'work', 'on', 'the', 'show', 'this', 'season', 'http', 't', 'co', 'qbLnprnpYy']"
7,1,"""Brooklyn and beyond","""xonataliepaul""",null,00:42:33,"""Eastern Time (US & Canada)""","['Breaking', 'out', 'the', 'wine', 'and', 'blankets', 'TheLeftovers', 'is', 'back', 'on', 'HBO', '\xf0', '\xf0', '\xbe']"
8,130,"""Baltimore, MD","""BrandonAmbro""","""BrandonAmbro""",00:42:33,"""Eastern Time (US & Canada)""","['2', 'You', 'will', 'check', 'your', 'TV', 'several', 'times', 'to', 'make', 'sure', 'you', 'are', 'on', 'the', 'right', 'channel', 'You', 'are', 'Keep', 'watching', 'TheLeftovers', 'TheLeftoversHBO']"
9,23,"""California","""riikabob""",null,00:42:44,"""Pacific Time (US & Canada)""","['Almost', 'forgot', 'TheLeftovers', 'starts', 'in', '20', 'mins']"
10,85,"""Boston, MA","""ShaunaGallagher""",null,00:43:30,"""Eastern Time (US & Canada)""","['I', 'hope', 'the', 'opening', 'scene', 'is', 'Justin', 'jogging', 'grey', 'sweats', 'amp', 'eyeliner', 'TheLeftovers']"
11,4,nul,"""CorgansEar""",null,00:44:00,"""Atlantic Time (Canada)""","['We', 'made', 'them', 'remember', 'theleftovers']"
12,1,"""Las Vegas, NV","""Missygortiz""",null,00:44:04,"""Pacific Time (US & Canada)""","['18', 'minutes', 'for', 'East', 'Coast', 'premiere', 'and', '17', 'minutes', 'to', 'log', 'off', 'of', 'Twitter', 'for', 'me', 'I', 'feel', 'punished', 'right', 'now', 'Grounding', 'myself', 'TheLeftovers']"
